Identifier,Name,Pitch,Set,Set number,Edition,Foiling,Treatment,Have,Want in trade,Want to buy,Extra for trade,Extra to sell
zero-to-sixty-yellow,Zero to Sixty,Yellow,Arcane Rising,ARC027,Unlimited,,,4,,,,
zero-to-sixty-blue,Zero to Sixty,Blue,Arcane Rising,ARC028,Unlimited,,,4,,,,
zipper-hit-red,Zipper Hit,Red,Arcane Rising,ARC029,Unlimited,,,6,,,,
zipper-hit-red,Zipper Hit,Red,Arcane Rising,ARC029,Unlimited,Rainbow,,1,,,,
zipper-hit-yellow,Zipper Hit,Yellow,Arcane Rising,ARC030,Unlimited,,,4,,,,
zipper-hit-yellow,Zipper Hit,Yellow,Arcane Rising,ARC030,Unlimited,Rainbow,,1,,,,
zipper-hit-blue,Zipper Hit,Blue,Arcane Rising,ARC031,Unlimited,,,4,,,,
locked-and-loaded-red,Locked and Loaded,Red,Arcane Rising,ARC032,Unlimited,,,6,,,,
locked-and-loaded-red,Locked and Loaded,Red,Arcane Rising,ARC032,Unlimited,Rainbow,,1,,,,
locked-and-loaded-yellow,Locked and Loaded,Yellow,Arcane Rising,ARC033,Unlimited,,,4,,,,
locked-and-loaded-blue,Locked and Loaded,Blue,Arcane Rising,ARC034,Unlimited,,,3,,,,
dissipation-shield-yellow,Dissipation Shield,Yellow,Arcane Rising,ARC035,Unlimited,,,4,,,,
dissipation-shield-yellow,Dissipation Shield,Yellow,Arcane Rising,ARC035,Unlimited,Rainbow,,1,,,,
hyper-driver-red,Hyper Driver,Red,Arcane Rising,ARC036,Unlimited,,,7,,,,
optekal-monocle-blue,Optekal Monocle,Blue,Arcane Rising,ARC037,Unlimited,,,5,,,,
azalea-ace-in-the-hole,"Azalea, Ace in the Hole",,Arcane Rising,ARC038,Unlimited,,,1,,,,
azalea,Azalea,,Arcane Rising,ARC039,Unlimited,,,1,,,,
death-dealer,Death Dealer,,Arcane Rising,ARC040,Unlimited,,,1,,,,
bulls-eye-bracers,Bull's Eye Bracers,,Arcane Rising,ARC042,Unlimited,,,5,,,,
red-in-the-ledger-red,Red in the Ledger,Red,Arcane Rising,ARC043,Unlimited,,,2,,,,
endless-arrow-red,Endless Arrow,Red,Arcane Rising,ARC045,Unlimited,,,3,,,,
nock-the-deathwhistle-blue,Nock the Deathwhistle,Blue,Arcane Rising,ARC046,Unlimited,,,2,,,,
nock-the-deathwhistle-blue,Nock the Deathwhistle,Blue,Arcane Rising,ARC046,Unlimited,Rainbow,,1,,,,
take-cover-red,Take Cover,Red,Arcane Rising,ARC048,Unlimited,,,3,,,,
take-cover-yellow,Take Cover,Yellow,Arcane Rising,ARC049,Unlimited,,,2,,,,
take-cover-yellow,Take Cover,Yellow,Arcane Rising,ARC049,Unlimited,Rainbow,,1,,,,
take-cover-blue,Take Cover,Blue,Arcane Rising,ARC050,Unlimited,,,2,,,,
take-cover-blue,Take Cover,Blue,Arcane Rising,ARC050,Unlimited,Rainbow,,1,,,,
silver-the-tip-red,Silver the Tip,Red,Arcane Rising,ARC051,Unlimited,,,3,,,,
silver-the-tip-yellow,Silver the Tip,Yellow,Arcane Rising,ARC052,Unlimited,,,3,,,,
silver-the-tip-blue,Silver the Tip,Blue,Arcane Rising,ARC053,Unlimited,,,3,,,,
take-aim-red,Take Aim,Red,Arcane Rising,ARC054,Unlimited,,,3,,,,
take-aim-yellow,Take Aim,Yellow,Arcane Rising,ARC055,Unlimited,,,2,,,,
take-aim-yellow,Take Aim,Yellow,Arcane Rising,ARC055,Unlimited,Rainbow,,1,,,,
take-aim-blue,Take Aim,Blue,Arcane Rising,ARC056,Unlimited,,,2,,,,
take-aim-blue,Take Aim,Blue,Arcane Rising,ARC056,Unlimited,Rainbow,,1,,,,
head-shot-red,Head Shot,Red,Arcane Rising,ARC057,Unlimited,,,5,,,,
head-shot-yellow,Head Shot,Yellow,Arcane Rising,ARC058,Unlimited,,,4,,,,
head-shot-blue,Head Shot,Blue,Arcane Rising,ARC059,Unlimited,,,3,,,,
hamstring-shot-red,Hamstring Shot,Red,Arcane Rising,ARC060,Unlimited,,,4,,,,
hamstring-shot-yellow,Hamstring Shot,Yellow,Arcane Rising,ARC061,Unlimited,,,4,,,,
hamstring-shot-blue,Hamstring Shot,Blue,Arcane Rising,ARC062,Unlimited,,,4,,,,
hamstring-shot-blue,Hamstring Shot,Blue,Arcane Rising,ARC062,Unlimited,Rainbow,,1,,,,
ridge-rider-shot-red,Ridge Rider Shot,Red,Arcane Rising,ARC063,Unlimited,,,6,,,,
ridge-rider-shot-yellow,Ridge Rider Shot,Yellow,Arcane Rising,ARC064,Unlimited,,,5,,,,
ridge-rider-shot-blue,Ridge Rider Shot,Blue,Arcane Rising,ARC065,Unlimited,,,5,,,,
salvage-shot-red,Salvage Shot,Red,Arcane Rising,ARC066,Unlimited,,,4,,,,
salvage-shot-red,Salvage Shot,Red,Arcane Rising,ARC066,Unlimited,Rainbow,,1,,,,
salvage-shot-yellow,Salvage Shot,Yellow,Arcane Rising,ARC067,Unlimited,,,5,,,,
salvage-shot-yellow,Salvage Shot,Yellow,Arcane Rising,ARC067,Unlimited,Rainbow,,1,,,,
salvage-shot-blue,Salvage Shot,Blue,Arcane Rising,ARC068,Unlimited,,,4,,,,
salvage-shot-blue,Salvage Shot,Blue,Arcane Rising,ARC068,Unlimited,Rainbow,,1,,,,
searing-shot-red,Searing Shot,Red,Arcane Rising,ARC069,Unlimited,,,5,,,,
searing-shot-red,Searing Shot,Red,Arcane Rising,ARC069,Unlimited,Rainbow,,1,,,,
searing-shot-yellow,Searing Shot,Yellow,Arcane Rising,ARC070,Unlimited,,,5,,,,
searing-shot-blue,Searing Shot,Blue,Arcane Rising,ARC071,Unlimited,,,5,,,,
searing-shot-blue,Searing Shot,Blue,Arcane Rising,ARC071,Unlimited,Rainbow,,1,,,,
sic-em-shot-red,Sic 'Em Shot,Red,Arcane Rising,ARC072,Unlimited,,,5,,,,
sic-em-shot-yellow,Sic 'Em Shot,Yellow,Arcane Rising,ARC073,Unlimited,,,5,,,,
sic-em-shot-blue,Sic 'Em Shot,Blue,Arcane Rising,ARC074,Unlimited,,,4,,,,
viserai-rune-blood,"Viserai, Rune Blood",,Arcane Rising,ARC075,Unlimited,,,1,,,,
viserai,Viserai,,Arcane Rising,ARC076,Unlimited,,,1,,,,
nebula-blade,Nebula Blade,,Arcane Rising,ARC077,Unlimited,,,1,,,,
crown-of-dichotomy,Crown of Dichotomy,,Arcane Rising,ARC079,Unlimited,,,4,,,,
mordred-tide-red,Mordred Tide,Red,Arcane Rising,ARC081,Unlimited,,,1,,,,
ninth-blade-of-the-blood-oath-yellow,Ninth Blade of the Blood Oath,Yellow,Arcane Rising,ARC082,Unlimited,,,1,,,,
tome-of-the-arknight-blue,Tome of the Arknight,Blue,Arcane Rising,ARC084,Unlimited,Rainbow,,1,,,,
spellblade-assault-red,Spellblade Assault,Red,Arcane Rising,ARC085,Unlimited,,,3,,,,
spellblade-assault-yellow,Spellblade Assault,Yellow,Arcane Rising,ARC086,Unlimited,,,3,,,,
spellblade-assault-blue,Spellblade Assault,Blue,Arcane Rising,ARC087,Unlimited,,,3,,,,
reduce-to-runechant-red,Reduce to Runechant,Red,Arcane Rising,ARC088,Unlimited,,,2,,,,
reduce-to-runechant-red,Reduce to Runechant,Red,Arcane Rising,ARC088,Unlimited,Rainbow,,1,,,,
reduce-to-runechant-yellow,Reduce to Runechant,Yellow,Arcane Rising,ARC089,Unlimited,Rainbow,,1,,,,
reduce-to-runechant-blue,Reduce to Runechant,Blue,Arcane Rising,ARC090,Unlimited,,,2,,,,
reduce-to-runechant-blue,Reduce to Runechant,Blue,Arcane Rising,ARC090,Unlimited,Rainbow,,1,,,,
oath-of-the-arknight-red,Oath of the Arknight,Red,Arcane Rising,ARC091,Unlimited,,,3,,,,
oath-of-the-arknight-yellow,Oath of the Arknight,Yellow,Arcane Rising,ARC092,Unlimited,,,2,,,,
oath-of-the-arknight-yellow,Oath of the Arknight,Yellow,Arcane Rising,ARC092,Unlimited,Rainbow,,1,,,,
oath-of-the-arknight-blue,Oath of the Arknight,Blue,Arcane Rising,ARC093,Unlimited,,,2,,,,
oath-of-the-arknight-blue,Oath of the Arknight,Blue,Arcane Rising,ARC093,Unlimited,Rainbow,,1,,,,
amplify-the-arknight-red,Amplify the Arknight,Red,Arcane Rising,ARC094,Unlimited,,,6,,,,
amplify-the-arknight-yellow,Amplify the Arknight,Yellow,Arcane Rising,ARC095,Unlimited,,,4,,,,
amplify-the-arknight-yellow,Amplify the Arknight,Yellow,Arcane Rising,ARC095,Unlimited,Rainbow,,1,,,,
amplify-the-arknight-blue,Amplify the Arknight,Blue,Arcane Rising,ARC096,Unlimited,,,3,,,,
drawn-to-the-dark-dimension-red,Drawn to the Dark Dimension,Red,Arcane Rising,ARC097,Unlimited,,,6,,,,
drawn-to-the-dark-dimension-yellow,Drawn to the Dark Dimension,Yellow,Arcane Rising,ARC098,Unlimited,,,4,,,,
drawn-to-the-dark-dimension-blue,Drawn to the Dark Dimension,Blue,Arcane Rising,ARC099,Unlimited,,,3,,,,
rune-flash-red,Rune Flash,Red,Arcane Rising,ARC100,Unlimited,,,6,,,,
rune-flash-yellow,Rune Flash,Yellow,Arcane Rising,ARC101,Unlimited,,,4,,,,
rune-flash-yellow,Rune Flash,Yellow,Arcane Rising,ARC101,Unlimited,Rainbow,,1,,,,
rune-flash-blue,Rune Flash,Blue,Arcane Rising,ARC102,Unlimited,,,4,,,,
rune-flash-blue,Rune Flash,Blue,Arcane Rising,ARC102,Unlimited,Rainbow,,1,,,,
spellblade-strike-red,Spellblade Strike,Red,Arcane Rising,ARC103,Unlimited,,,6,,,,
spellblade-strike-yellow,Spellblade Strike,Yellow,Arcane Rising,ARC104,Unlimited,,,4,,,,
spellblade-strike-blue,Spellblade Strike,Blue,Arcane Rising,ARC105,Unlimited,,,4,,,,
spellblade-strike-blue,Spellblade Strike,Blue,Arcane Rising,ARC105,Unlimited,Rainbow,,1,,,,
bloodspill-invocation-red,Bloodspill Invocation,Red,Arcane Rising,ARC106,Unlimited,,,6,,,,
bloodspill-invocation-yellow,Bloodspill Invocation,Yellow,Arcane Rising,ARC107,Unlimited,,,4,,,,
bloodspill-invocation-yellow,Bloodspill Invocation,Yellow,Arcane Rising,ARC107,Unlimited,Rainbow,,1,,,,
bloodspill-invocation-blue,Bloodspill Invocation,Blue,Arcane Rising,ARC108,Unlimited,,,4,,,,
bloodspill-invocation-blue,Bloodspill Invocation,Blue,Arcane Rising,ARC108,Unlimited,Rainbow,,1,,,,
read-the-runes-red,Read the Runes,Red,Arcane Rising,ARC109,Unlimited,,,7,,,,
read-the-runes-yellow,Read the Runes,Yellow,Arcane Rising,ARC110,Unlimited,,,4,,,,
read-the-runes-blue,Read the Runes,Blue,Arcane Rising,ARC111,Unlimited,,,4,,,,
runechant,Runechant,,Arcane Rising,ARC112,Unlimited,,,6,,,,
kano-dracai-of-aether,"Kano, Dracai of Aether",,Arcane Rising,ARC113,Unlimited,,,1,,,,
kano,Kano,,Arcane Rising,ARC114,Unlimited,,,1,,,,
crucible-of-aetherweave,Crucible of Aetherweave,,Arcane Rising,ARC115,Unlimited,,,1,,,,
robe-of-rapture,Robe of Rapture,,Arcane Rising,ARC117,Unlimited,,,3,,,,
sonic-boom-yellow,Sonic Boom,Yellow,Arcane Rising,ARC119,Unlimited,,,1,,,,
forked-lightning-red,Forked Lightning,Red,Arcane Rising,ARC120,Unlimited,,,1,,,,
lesson-in-lava-yellow,Lesson in Lava,Yellow,Arcane Rising,ARC121,Unlimited,,,1,,,,
absorb-in-aether-red,Absorb in Aether,Red,Arcane Rising,ARC123,Unlimited,,,3,,,,
absorb-in-aether-yellow,Absorb in Aether,Yellow,Arcane Rising,ARC124,Unlimited,,,2,,,,
absorb-in-aether-yellow,Absorb in Aether,Yellow,Arcane Rising,ARC124,Unlimited,Rainbow,,1,,,,
absorb-in-aether-blue,Absorb in Aether,Blue,Arcane Rising,ARC125,Unlimited,,,3,,,,
aether-spindle-red,Aether Spindle,Red,Arcane Rising,ARC126,Unlimited,,,3,,,,
aether-spindle-yellow,Aether Spindle,Yellow,Arcane Rising,ARC127,Unlimited,,,2,,,,
aether-spindle-blue,Aether Spindle,Blue,Arcane Rising,ARC128,Unlimited,,,3,,,,
stir-the-aetherwinds-red,Stir the Aetherwinds,Red,Arcane Rising,ARC129,Unlimited,,,2,,,,
stir-the-aetherwinds-yellow,Stir the Aetherwinds,Yellow,Arcane Rising,ARC130,Unlimited,,,2,,,,
stir-the-aetherwinds-blue,Stir the Aetherwinds,Blue,Arcane Rising,ARC131,Unlimited,,,1,,,,
aether-flare-red,Aether Flare,Red,Arcane Rising,ARC132,Unlimited,,,7,,,,
aether-flare-yellow,Aether Flare,Yellow,Arcane Rising,ARC133,Unlimited,,,4,,,,
aether-flare-blue,Aether Flare,Blue,Arcane Rising,ARC134,Unlimited,,,4,,,,
index-red,Index,Red,Arcane Rising,ARC135,Unlimited,,,6,,,,
index-yellow,Index,Yellow,Arcane Rising,ARC136,Unlimited,,,4,,,,
index-blue,Index,Blue,Arcane Rising,ARC137,Unlimited,,,3,,,,
reverberate-red,Reverberate,Red,Arcane Rising,ARC138,Unlimited,,,6,,,,
reverberate-yellow,Reverberate,Yellow,Arcane Rising,ARC139,Unlimited,,,4,,,,
reverberate-blue,Reverberate,Blue,Arcane Rising,ARC140,Unlimited,,,5,,,,
reverberate-blue,Reverberate,Blue,Arcane Rising,ARC140,Unlimited,Rainbow,,1,,,,
scalding-rain-red,Scalding Rain,Red,Arcane Rising,ARC141,Unlimited,,,7,,,,
scalding-rain-yellow,Scalding Rain,Yellow,Arcane Rising,ARC142,Unlimited,,,4,,,,
scalding-rain-blue,Scalding Rain,Blue,Arcane Rising,ARC143,Unlimited,,,4,,,,
zap-red,Zap,Red,Arcane Rising,ARC144,Unlimited,,,6,,,,
zap-yellow,Zap,Yellow,Arcane Rising,ARC145,Unlimited,,,3,,,,
zap-blue,Zap,Blue,Arcane Rising,ARC146,Unlimited,,,4,,,,
voltic-bolt-red,Voltic Bolt,Red,Arcane Rising,ARC147,Unlimited,,,5,,,,
voltic-bolt-yellow,Voltic Bolt,Yellow,Arcane Rising,ARC148,Unlimited,,,6,,,,
voltic-bolt-blue,Voltic Bolt,Blue,Arcane Rising,ARC149,Unlimited,,,3,,,,
arcanite-skullcap,Arcanite Skullcap,,Arcane Rising,ARC150,Unlimited,Rainbow,,1,,,,
talismanic-lens,Talismanic Lens,,Arcane Rising,ARC151,Unlimited,,,3,,,,
vest-of-the-first-fist,Vest of the First Fist,,Arcane Rising,ARC152,Unlimited,,,4,,,,
bracers-of-belief,Bracers of Belief,,Arcane Rising,ARC153,Unlimited,,,5,,,,
bracers-of-belief,Bracers of Belief,,Arcane Rising,ARC153,Unlimited,Rainbow,,1,,,,
mage-master-boots,Mage Master Boots,,Arcane Rising,ARC154,Unlimited,,,5,,,,
nullrune-hood,Nullrune Hood,,Arcane Rising,ARC155,Unlimited,,,3,,,,
nullrune-hood,Nullrune Hood,,Arcane Rising,ARC155,Unlimited,Rainbow,,1,,,,
nullrune-robe,Nullrune Robe,,Arcane Rising,ARC156,Unlimited,,,4,,,,
nullrune-gloves,Nullrune Gloves,,Arcane Rising,ARC157,Unlimited,,,4,,,,
nullrune-boots,Nullrune Boots,,Arcane Rising,ARC158,Unlimited,,,6,,,,
command-and-conquer-red,Command and Conquer,Red,Arcane Rising,ARC159,Unlimited,,,1,,,,
rusted-relic-blue,Rusted Relic,Blue,Arcane Rising,ARC163,Unlimited,,,1,,,,
life-for-a-life-red,Life for a Life,Red,Arcane Rising,ARC164,Unlimited,,,1,,,,
life-for-a-life-yellow,Life for a Life,Yellow,Arcane Rising,ARC165,Unlimited,,,2,,,,
life-for-a-life-blue,Life for a Life,Blue,Arcane Rising,ARC166,Unlimited,,,3,,,,
enchanting-melody-red,Enchanting Melody,Red,Arcane Rising,ARC167,Unlimited,,,3,,,,
enchanting-melody-yellow,Enchanting Melody,Yellow,Arcane Rising,ARC168,Unlimited,,,3,,,,
enchanting-melody-blue,Enchanting Melody,Blue,Arcane Rising,ARC169,Unlimited,,,3,,,,
plunder-run-red,Plunder Run,Red,Arcane Rising,ARC170,Unlimited,,,2,,,,
plunder-run-yellow,Plunder Run,Yellow,Arcane Rising,ARC171,Unlimited,,,2,,,,
plunder-run-blue,Plunder Run,Blue,Arcane Rising,ARC172,Unlimited,,,3,,,,
eirinas-prayer-red,Eirina's Prayer,Red,Arcane Rising,ARC173,Unlimited,,,3,,,,
eirinas-prayer-yellow,Eirina's Prayer,Yellow,Arcane Rising,ARC174,Unlimited,,,2,,,,
eirinas-prayer-yellow,Eirina's Prayer,Yellow,Arcane Rising,ARC174,Unlimited,Rainbow,,1,,,,
eirinas-prayer-blue,Eirina's Prayer,Blue,Arcane Rising,ARC175,Unlimited,,,2,,,,
eirinas-prayer-blue,Eirina's Prayer,Blue,Arcane Rising,ARC175,Unlimited,Rainbow,,1,,,,
back-alley-breakline-red,Back Alley Breakline,Red,Arcane Rising,ARC176,Unlimited,,,5,,,,
back-alley-breakline-yellow,Back Alley Breakline,Yellow,Arcane Rising,ARC177,Unlimited,,,5,,,,
back-alley-breakline-blue,Back Alley Breakline,Blue,Arcane Rising,ARC178,Unlimited,,,3,,,,
back-alley-breakline-blue,Back Alley Breakline,Blue,Arcane Rising,ARC178,Unlimited,Rainbow,,1,,,,
cadaverous-contraband-red,Cadaverous Contraband,Red,Arcane Rising,ARC179,Unlimited,,,6,,,,
cadaverous-contraband-red,Cadaverous Contraband,Red,Arcane Rising,ARC179,Unlimited,Rainbow,,1,,,,
cadaverous-contraband-yellow,Cadaverous Contraband,Yellow,Arcane Rising,ARC180,Unlimited,,,5,,,,
cadaverous-contraband-blue,Cadaverous Contraband,Blue,Arcane Rising,ARC181,Unlimited,,,3,,,,
fervent-forerunner-red,Fervent Forerunner,Red,Arcane Rising,ARC182,Unlimited,,,5,,,,
fervent-forerunner-yellow,Fervent Forerunner,Yellow,Arcane Rising,ARC183,Unlimited,,,4,,,,
fervent-forerunner-blue,Fervent Forerunner,Blue,Arcane Rising,ARC184,Unlimited,,,3,,,,
moon-wish-red,Moon Wish,Red,Arcane Rising,ARC185,Unlimited,,,5,,,,
moon-wish-yellow,Moon Wish,Yellow,Arcane Rising,ARC186,Unlimited,,,5,,,,
moon-wish-blue,Moon Wish,Blue,Arcane Rising,ARC187,Unlimited,,,3,,,,
push-the-point-red,Push the Point,Red,Arcane Rising,ARC188,Unlimited,,,5,,,,
push-the-point-yellow,Push the Point,Yellow,Arcane Rising,ARC189,Unlimited,,,5,,,,
push-the-point-blue,Push the Point,Blue,Arcane Rising,ARC190,Unlimited,,,3,,,,
ravenous-rabble-red,Ravenous Rabble,Red,Arcane Rising,ARC191,Unlimited,,,5,,,,
ravenous-rabble-red,Ravenous Rabble,Red,Arcane Rising,ARC191,Unlimited,Rainbow,,1,,,,
ravenous-rabble-yellow,Ravenous Rabble,Yellow,Arcane Rising,ARC192,Unlimited,,,5,,,,
ravenous-rabble-yellow,Ravenous Rabble,Yellow,Arcane Rising,ARC192,Unlimited,Rainbow,,1,,,,
ravenous-rabble-blue,Ravenous Rabble,Blue,Arcane Rising,ARC193,Unlimited,,,5,,,,
rifting-red,Rifting,Red,Arcane Rising,ARC194,Unlimited,,,4,,,,
rifting-yellow,Rifting,Yellow,Arcane Rising,ARC195,Unlimited,,,4,,,,
rifting-blue,Rifting,Blue,Arcane Rising,ARC196,Unlimited,,,5,,,,
vigor-rush-red,Vigor Rush,Red,Arcane Rising,ARC197,Unlimited,,,4,,,,
vigor-rush-yellow,Vigor Rush,Yellow,Arcane Rising,ARC198,Unlimited,,,5,,,,
vigor-rush-blue,Vigor Rush,Blue,Arcane Rising,ARC199,Unlimited,,,5,,,,
fate-foreseen-red,Fate Foreseen,Red,Arcane Rising,ARC200,Unlimited,,,5,,,,
fate-foreseen-yellow,Fate Foreseen,Yellow,Arcane Rising,ARC201,Unlimited,,,4,,,,
fate-foreseen-blue,Fate Foreseen,Blue,Arcane Rising,ARC202,Unlimited,,,5,,,,
come-to-fight-red,Come to Fight,Red,Arcane Rising,ARC203,Unlimited,,,5,,,,
come-to-fight-red,Come to Fight,Red,Arcane Rising,ARC203,Unlimited,Rainbow,,1,,,,
come-to-fight-yellow,Come to Fight,Yellow,Arcane Rising,ARC204,Unlimited,,,5,,,,
come-to-fight-yellow,Come to Fight,Yellow,Arcane Rising,ARC204,Unlimited,Rainbow,,1,,,,
come-to-fight-blue,Come to Fight,Blue,Arcane Rising,ARC205,Unlimited,,,5,,,,
force-sight-red,Force Sight,Red,Arcane Rising,ARC206,Unlimited,,,5,,,,
force-sight-yellow,Force Sight,Yellow,Arcane Rising,ARC207,Unlimited,,,5,,,,
force-sight-yellow,Force Sight,Yellow,Arcane Rising,ARC207,Unlimited,Rainbow,,1,,,,
force-sight-blue,Force Sight,Blue,Arcane Rising,ARC208,Unlimited,,,5,,,,
lead-the-charge-red,Lead the Charge,Red,Arcane Rising,ARC209,Unlimited,,,5,,,,
lead-the-charge-red,Lead the Charge,Red,Arcane Rising,ARC209,Unlimited,Rainbow,,1,,,,
lead-the-charge-yellow,Lead the Charge,Yellow,Arcane Rising,ARC210,Unlimited,,,5,,,,
lead-the-charge-blue,Lead the Charge,Blue,Arcane Rising,ARC211,Unlimited,,,5,,,,
sun-kiss-red,Sun Kiss,Red,Arcane Rising,ARC212,Unlimited,,,4,,,,
sun-kiss-yellow,Sun Kiss,Yellow,Arcane Rising,ARC213,Unlimited,,,5,,,,
sun-kiss-yellow,Sun Kiss,Yellow,Arcane Rising,ARC213,Unlimited,Rainbow,,1,,,,
sun-kiss-blue,Sun Kiss,Blue,Arcane Rising,ARC214,Unlimited,,,5,,,,
whisper-of-the-oracle-red,Whisper of the Oracle,Red,Arcane Rising,ARC215,Unlimited,,,5,,,,
whisper-of-the-oracle-yellow,Whisper of the Oracle,Yellow,Arcane Rising,ARC216,Unlimited,,,4,,,,
whisper-of-the-oracle-yellow,Whisper of the Oracle,Yellow,Arcane Rising,ARC216,Unlimited,Rainbow,,1,,,,
whisper-of-the-oracle-blue,Whisper of the Oracle,Blue,Arcane Rising,ARC217,Unlimited,,,5,,,,
whisper-of-the-oracle-blue,Whisper of the Oracle,Blue,Arcane Rising,ARC217,Unlimited,Rainbow,,1,,,,
cracked-bauble-yellow,Cracked Bauble,Yellow,Arcane Rising,ARC218,Unlimited,,,4,,,,
rhinar-reckless-rampage,"Rhinar, Reckless Rampage",,Crucible of War,CRU001,Unlimited,,,1,,,,
kayo-berserker-runt,"Kayo, Berserker Runt",,Crucible of War,CRU002,Unlimited,,,1,,,,
mandible-claw,Mandible Claw,,Crucible of War,CRU004,Unlimited,,,1,,,,
mandible-claw,Mandible Claw,,Crucible of War,CRU005,Unlimited,,,1,,,,
massacre-red,Massacre,Red,Crucible of War,CRU008,Unlimited,Rainbow,,1,,,,
argh-smash-yellow,Argh… Smash!,Yellow,Crucible of War,CRU009,Unlimited,,,1,,,,
barraging-big-horn-red,Barraging Big Horn,Red,Crucible of War,CRU010,Unlimited,,,3,,,,
barraging-big-horn-yellow,Barraging Big Horn,Yellow,Crucible of War,CRU011,Unlimited,,,2,,,,
barraging-big-horn-yellow,Barraging Big Horn,Yellow,Crucible of War,CRU011,Unlimited,Rainbow,,1,,,,
barraging-big-horn-blue,Barraging Big Horn,Blue,Crucible of War,CRU012,Unlimited,,,3,,,,
predatory-assault-red,Predatory Assault,Red,Crucible of War,CRU013,Unlimited,,,5,,,,
predatory-assault-yellow,Predatory Assault,Yellow,Crucible of War,CRU014,Unlimited,,,4,,,,
predatory-assault-yellow,Predatory Assault,Yellow,Crucible of War,CRU014,Unlimited,Rainbow,,1,,,,
predatory-assault-blue,Predatory Assault,Blue,Crucible of War,CRU015,Unlimited,,,3,,,,
riled-up-red,Riled Up,Red,Crucible of War,CRU016,Unlimited,,,4,,,,
riled-up-yellow,Riled Up,Yellow,Crucible of War,CRU017,Unlimited,,,5,,,,
riled-up-blue,Riled Up,Blue,Crucible of War,CRU018,Unlimited,,,3,,,,
riled-up-blue,Riled Up,Blue,Crucible of War,CRU018,Unlimited,Rainbow,,1,,,,
swing-fist-think-later-red,"Swing Fist, Think Later",Red,Crucible of War,CRU019,Unlimited,,,4,,,,
swing-fist-think-later-yellow,"Swing Fist, Think Later",Yellow,Crucible of War,CRU020,Unlimited,,,4,,,,
swing-fist-think-later-blue,"Swing Fist, Think Later",Blue,Crucible of War,CRU021,Unlimited,,,6,,,,
swing-fist-think-later-blue,"Swing Fist, Think Later",Blue,Crucible of War,CRU021,Unlimited,Rainbow,,1,,,,
bravo-showstopper,"Bravo, Showstopper",,Crucible of War,CRU022,Unlimited,,,2,,,,
sledge-of-anvilheim,Sledge of Anvilheim,,Crucible of War,CRU024,Unlimited,,,1,,,,
mangle-red,Mangle,Red,Crucible of War,CRU026,Unlimited,,,1,,,,
towering-titan-red,Towering Titan,Red,Crucible of War,CRU029,Unlimited,,,3,,,,
towering-titan-yellow,Towering Titan,Yellow,Crucible of War,CRU030,Unlimited,,,2,,,,
towering-titan-blue,Towering Titan,Blue,Crucible of War,CRU031,Unlimited,,,2,,,,
towering-titan-blue,Towering Titan,Blue,Crucible of War,CRU031,Unlimited,Rainbow,,1,,,,
crush-the-weak-red,Crush the Weak,Red,Crucible of War,CRU032,Unlimited,,,3,,,,
crush-the-weak-yellow,Crush the Weak,Yellow,Crucible of War,CRU033,Unlimited,,,3,,,,
crush-the-weak-blue,Crush the Weak,Blue,Crucible of War,CRU034,Unlimited,,,5,,,,
crush-the-weak-blue,Crush the Weak,Blue,Crucible of War,CRU034,Unlimited,Rainbow,,1,,,,
chokeslam-red,Chokeslam,Red,Crucible of War,CRU035,Unlimited,,,3,,,,
chokeslam-red,Chokeslam,Red,Crucible of War,CRU035,Unlimited,Rainbow,,1,,,,
chokeslam-yellow,Chokeslam,Yellow,Crucible of War,CRU036,Unlimited,,,3,,,,
chokeslam-blue,Chokeslam,Blue,Crucible of War,CRU037,Unlimited,,,5,,,,
chokeslam-blue,Chokeslam,Blue,Crucible of War,CRU037,Unlimited,Rainbow,,1,,,,
emerging-dominance-red,Emerging Dominance,Red,Crucible of War,CRU038,Unlimited,,,4,,,,
emerging-dominance-red,Emerging Dominance,Red,Crucible of War,CRU038,Unlimited,Rainbow,,1,,,,
emerging-dominance-yellow,Emerging Dominance,Yellow,Crucible of War,CRU039,Unlimited,,,3,,,,
emerging-dominance-blue,Emerging Dominance,Blue,Crucible of War,CRU040,Unlimited,,,4,,,,
blessing-of-serenity-red,Blessing of Serenity,Red,Crucible of War,CRU041,Unlimited,,,4,,,,
blessing-of-serenity-red,Blessing of Serenity,Red,Crucible of War,CRU041,Unlimited,Rainbow,,1,,,,
blessing-of-serenity-yellow,Blessing of Serenity,Yellow,Crucible of War,CRU042,Unlimited,,,3,,,,
blessing-of-serenity-blue,Blessing of Serenity,Blue,Crucible of War,CRU043,Unlimited,,,3,,,,
seismic-surge,Seismic Surge,,Crucible of War,CRU044,Unlimited,Rainbow,,1,,,,
katsu-the-wanderer,"Katsu, the Wanderer",,Crucible of War,CRU045,Unlimited,,,2,,,,
ira-crimson-haze,"Ira, Crimson Haze",,Crucible of War,CRU046,Unlimited,,,2,,,,
benji-the-piercing-wind,"Benji, the Piercing Wind",,Crucible of War,CRU047,Unlimited,,,1,,,,
harmonized-kodachi,Harmonized Kodachi,,Crucible of War,CRU049,Unlimited,Rainbow,,1,,,,
edge-of-autumn,Edge of Autumn,,Crucible of War,CRU050,Unlimited,,,2,,,,
